#SECOND, CPU_TMP, GPU_TMP, CPU_FRQ, MEM_USE, CPU_USE
0, 44.00, 45.70, 15.00, 3.85, 5.90 
1, 44.00, 45.20, 15.00, 3.85, 5.90 
2, 45.00, 46.70, 9.00, 3.85, 5.90 
3, 46.00, 46.70, 15.00, 3.85, 5.90 
4, 46.00, 46.70, 15.00, 3.85, 5.90 
5, 46.00, 46.70, 15.00, 3.85, 5.90 
6, 46.00, 46.20, 15.00, 3.85, 5.80 
7, 45.00, 46.20, 15.00, 3.85, 5.90 
8, 46.00, 46.20, 7.00, 3.85, 5.90 
9, 45.00, 46.20, 15.00, 3.85, 5.90 
10, 46.00, 46.20, 8.00, 3.85, 5.90 
11, 45.00, 45.20, 15.00, 3.85, 5.90 
12, 46.00, 45.70, 7.00, 3.85, 5.90 
13, 45.00, 45.70, 15.00, 3.85, 5.80 
14, 45.00, 45.70, 15.00, 3.85, 5.90 
15, 46.00, 46.20, 15.00, 3.85, 5.90 
16, 47.00, 45.70, 7.00, 3.85, 5.90 
17, 47.00, 46.20, 15.00, 3.85, 5.90 
18, 46.00, 46.20, 7.00, 3.85, 5.90 
19, 46.00, 46.70, 15.00, 3.85, 5.90 
20, 46.00, 46.20, 15.00, 3.85, 5.90 
21, 46.00, 46.70, 15.00, 3.85, 5.80 
22, 45.00, 46.20, 15.00, 3.85, 5.90 
23, 45.00, 45.70, 7.00, 3.85, 5.90 
24, 45.00, 47.20, 15.00, 3.85, 5.90 
25, 47.00, 45.70, 15.00, 3.85, 5.90 
26, 45.00, 46.70, 10.00, 3.85, 5.90 
27, 45.00, 45.70, 15.00, 3.85, 5.90 
28, 45.00, 46.70, 15.00, 3.85, 5.90 
29, 46.00, 46.70, 15.00, 3.85, 5.90 
30, 46.00, 46.70, 15.00, 3.85, 5.90 
31, 47.00, 46.70, 15.00, 3.85, 5.90 
32, 46.00, 45.70, 7.00, 3.85, 5.90 
33, 46.00, 46.70, 15.00, 3.85, 5.90 
34, 45.00, 47.20, 7.00, 3.85, 5.90 
35, 46.00, 46.20, 15.00, 3.85, 5.90 
36, 46.00, 46.20, 9.00, 3.85, 5.90 
37, 46.00, 46.70, 15.00, 3.85, 5.90 
38, 45.00, 46.70, 15.00, 3.85, 5.90 
39, 45.00, 47.20, 15.00, 3.85, 5.90 
40, 46.00, 45.70, 15.00, 3.85, 5.90 
41, 45.00, 45.70, 15.00, 3.85, 5.90 
42, 46.00, 46.20, 15.00, 3.85, 5.90 
43, 45.00, 46.20, 15.00, 3.85, 5.90 
44, 47.00, 47.70, 6.00, 3.85, 5.90 
