#SECOND, CPU_TMP, GPU_TMP, CPU_FRQ, MEM_USE, CPU_USE
0, 48.00, 48.70, 15.00, 3.56, 6.10 
1, 48.00, 47.70, 15.00, 3.56, 6.10 
2, 47.00, 47.20, 15.00, 3.56, 6.10 
3, 46.00, 47.70, 15.00, 3.56, 6.10 
4, 47.00, 47.70, 15.00, 3.57, 6.10 
5, 47.00, 47.20, 7.00, 3.57, 6.10 
6, 48.00, 47.70, 6.00, 3.57, 6.10 
7, 47.00, 47.70, 10.00, 3.57, 6.10 
8, 46.00, 46.70, 10.00, 3.57, 6.10 
9, 47.00, 47.20, 15.00, 3.57, 6.10 
10, 47.00, 47.20, 10.00, 3.57, 6.10 
11, 47.00, 47.20, 15.00, 3.57, 6.10 
12, 47.00, 46.70, 15.00, 3.57, 6.10 
13, 45.00, 47.20, 6.00, 3.57, 6.10 
14, 47.00, 47.20, 7.00, 3.57, 6.10 
15, 46.00, 47.20, 6.00, 3.57, 6.10 
16, 46.00, 47.70, 6.00, 3.57, 6.10 
17, 47.00, 47.70, 15.00, 3.57, 6.10 
18, 47.00, 47.70, 15.00, 3.57, 6.10 
19, 46.00, 47.70, 15.00, 3.57, 6.10 
20, 47.00, 48.20, 15.00, 3.57, 6.10 
21, 46.00, 46.20, 15.00, 3.57, 6.10 
22, 46.00, 46.20, 15.00, 3.57, 6.10 
23, 47.00, 46.20, 15.00, 3.57, 6.10 
24, 46.00, 46.20, 15.00, 3.57, 6.10 
25, 46.00, 46.70, 15.00, 3.57, 6.10 
26, 46.00, 46.20, 7.00, 3.57, 6.10 
27, 46.00, 46.20, 9.00, 3.57, 6.10 
28, 46.00, 46.20, 15.00, 3.57, 6.10 
29, 46.00, 46.70, 15.00, 3.57, 6.10 
30, 47.00, 47.20, 15.00, 3.57, 6.10 
31, 47.00, 46.70, 15.00, 3.57, 6.10 
32, 46.00, 46.20, 15.00, 3.57, 6.10 
33, 45.00, 46.70, 15.00, 3.57, 6.10 
34, 45.00, 46.70, 7.00, 3.57, 6.10 
35, 47.00, 46.70, 6.00, 3.57, 6.10 
36, 46.00, 46.70, 10.00, 3.57, 6.10 
37, 47.00, 47.70, 15.00, 3.57, 6.10 
38, 46.00, 46.20, 15.00, 3.57, 6.10 
39, 47.00, 46.20, 15.00, 3.57, 6.10 
40, 46.00, 47.20, 7.00, 3.57, 6.10 
41, 47.00, 47.20, 15.00, 3.57, 6.10 
42, 47.00, 47.20, 15.00, 3.57, 6.10 
