#SECOND, CPU_TMP, GPU_TMP, CPU_FRQ, MEM_USE, CPU_USE
0, 47.00, 47.20, 15.00, 3.97, 5.80 
1, 47.00, 46.70, 15.00, 3.97, 5.80 
2, 47.00, 47.70, 15.00, 3.97, 5.80 
3, 47.00, 47.70, 15.00, 3.97, 5.80 
4, 46.00, 46.70, 15.00, 3.97, 5.80 
5, 47.00, 48.20, 7.00, 3.97, 5.80 
6, 48.00, 47.20, 15.00, 3.97, 5.80 
7, 47.00, 48.20, 7.00, 3.97, 5.80 
8, 48.00, 48.20, 15.00, 3.97, 5.80 
9, 46.00, 47.70, 15.00, 3.97, 5.80 
10, 47.00, 47.20, 15.00, 3.97, 5.80 
11, 48.00, 47.70, 15.00, 3.97, 5.80 
12, 47.00, 47.70, 15.00, 3.97, 5.80 
13, 48.00, 47.70, 7.00, 3.97, 5.80 
14, 48.00, 48.20, 8.00, 3.97, 5.80 
15, 47.00, 47.20, 15.00, 3.97, 5.80 
16, 48.00, 47.20, 7.00, 3.97, 5.80 
17, 48.00, 47.70, 15.00, 3.97, 5.80 
18, 48.00, 47.70, 15.00, 3.97, 5.80 
19, 48.00, 47.70, 15.00, 3.97, 5.80 
20, 48.00, 48.20, 15.00, 3.97, 5.80 
21, 47.00, 47.20, 10.00, 3.97, 5.80 
22, 47.00, 47.20, 15.00, 3.97, 5.80 
23, 48.00, 47.70, 7.00, 3.97, 5.80 
24, 47.00, 47.70, 15.00, 3.97, 5.80 
25, 47.00, 48.20, 15.00, 3.97, 5.80 
26, 47.00, 48.20, 15.00, 3.97, 5.80 
27, 48.00, 47.70, 9.00, 3.97, 5.80 
28, 48.00, 48.70, 15.00, 3.97, 5.80 
29, 48.00, 48.20, 15.00, 3.97, 5.80 
30, 47.00, 47.70, 15.00, 3.97, 5.80 
31, 47.00, 48.20, 15.00, 3.97, 5.80 
32, 47.00, 48.20, 15.00, 3.97, 5.80 
33, 48.00, 47.70, 15.00, 3.97, 5.80 
34, 47.00, 48.70, 15.00, 3.97, 5.80 
35, 48.00, 48.70, 15.00, 3.97, 5.80 
36, 47.00, 48.20, 15.00, 3.97, 5.80 
37, 47.00, 48.70, 8.00, 3.97, 5.80 
38, 49.00, 49.10, 15.00, 3.97, 5.80 
39, 47.00, 48.70, 7.00, 3.97, 5.80 
40, 48.00, 48.20, 15.00, 3.97, 5.80 
41, 48.00, 47.70, 15.00, 3.97, 5.80 
42, 48.00, 48.70, 15.00, 3.97, 5.80 
43, 48.00, 48.20, 15.00, 3.97, 5.80 
44, 48.00, 49.10, 15.00, 3.97, 5.80 
45, 47.00, 49.10, 15.00, 3.97, 5.70 
46, 49.00, 48.20, 15.00, 3.97, 5.70 
47, 47.00, 48.20, 15.00, 3.97, 5.80 
48, 50.00, 49.60, 15.00, 3.97, 5.70 
49, 49.00, 49.10, 15.00, 3.97, 5.70 
50, 49.00, 49.60, 15.00, 3.97, 5.70 
51, 49.00, 48.70, 15.00, 3.97, 5.70 
52, 48.00, 49.10, 8.00, 3.97, 5.70 
53, 49.00, 49.60, 15.00, 3.97, 5.70 
54, 48.00, 49.60, 15.00, 3.97, 5.70 
55, 50.00, 50.10, 15.00, 3.97, 5.70 
56, 49.00, 49.10, 15.00, 3.97, 5.70 
57, 49.00, 50.60, 15.00, 3.97, 5.70 
58, 48.00, 49.10, 15.00, 3.97, 5.70 
59, 49.00, 50.60, 15.00, 3.97, 5.70 
60, 50.00, 50.10, 15.00, 3.97, 5.70 
61, 49.00, 50.10, 15.00, 3.97, 5.70 
62, 51.00, 51.10, 15.00, 3.97, 5.70 
63, 49.00, 49.60, 15.00, 3.97, 5.70 
64, 49.00, 49.60, 15.00, 3.97, 5.70 
65, 49.00, 50.60, 15.00, 3.97, 5.70 
66, 49.00, 50.60, 15.00, 3.97, 5.70 
67, 50.00, 50.60, 15.00, 3.97, 5.70 
68, 51.00, 50.10, 15.00, 3.97, 5.70 
69, 50.00, 50.60, 15.00, 3.97, 5.70 
70, 51.00, 50.10, 15.00, 3.97, 5.70 
71, 50.00, 50.10, 15.00, 3.97, 5.70 
72, 50.00, 50.60, 15.00, 3.97, 5.70 
73, 50.00, 51.10, 15.00, 3.97, 5.70 
74, 50.00, 51.10, 15.00, 3.97, 5.70 
75, 49.00, 51.10, 15.00, 3.97, 5.70 
76, 51.00, 51.10, 15.00, 3.97, 5.70 
77, 51.00, 50.60, 15.00, 3.97, 5.70 
78, 50.00, 51.10, 15.00, 3.97, 5.70 
79, 51.00, 50.60, 15.00, 3.97, 5.70 
80, 50.00, 51.60, 15.00, 3.97, 5.70 
81, 51.00, 51.60, 15.00, 3.97, 5.70 
82, 51.00, 51.60, 15.00, 3.97, 5.70 
83, 51.00, 52.10, 15.00, 3.97, 5.70 
84, 51.00, 52.50, 15.00, 3.97, 5.70 
85, 52.00, 52.50, 15.00, 3.97, 5.70 
86, 51.00, 51.60, 15.00, 3.97, 5.60 
87, 52.00, 51.60, 15.00, 3.97, 5.60 
88, 51.00, 52.10, 15.00, 3.97, 5.60 
89, 52.00, 52.10, 15.00, 3.97, 5.60 
90, 52.00, 52.10, 15.00, 3.97, 5.60 
91, 52.00, 52.50, 15.00, 3.97, 5.60 
92, 52.00, 53.00, 15.00, 3.97, 5.60 
93, 52.00, 52.10, 15.00, 3.97, 5.60 
94, 51.00, 52.10, 15.00, 3.97, 5.60 
95, 51.00, 51.60, 15.00, 3.97, 5.60 
96, 52.00, 53.00, 15.00, 3.97, 5.60 
97, 52.00, 52.10, 15.00, 3.97, 5.60 
98, 51.00, 53.00, 15.00, 3.97, 5.60 
99, 52.00, 51.60, 15.00, 3.97, 5.50 
100, 52.00, 52.10, 15.00, 3.97, 5.50 
101, 51.00, 51.60, 15.00, 3.97, 5.50 
102, 51.00, 51.10, 15.00, 3.97, 5.50 
103, 50.00, 51.10, 15.00, 3.97, 5.50 
104, 52.00, 51.60, 15.00, 3.97, 5.50 
105, 51.00, 50.60, 15.00, 3.97, 5.50 
106, 50.00, 51.60, 15.00, 3.97, 5.50 
107, 50.00, 51.10, 15.00, 3.97, 5.50 
108, 50.00, 51.10, 15.00, 3.97, 5.50 
109, 50.00, 50.10, 15.00, 3.97, 5.50 
110, 50.00, 50.10, 15.00, 3.97, 5.50 
111, 50.00, 50.10, 15.00, 3.97, 5.50 
112, 50.00, 50.60, 15.00, 3.97, 5.50 
113, 50.00, 50.60, 15.00, 3.97, 5.50 
114, 49.00, 50.10, 15.00, 3.97, 5.50 
115, 49.00, 50.60, 7.00, 3.97, 5.50 
116, 48.00, 50.10, 15.00, 3.97, 5.50 
117, 49.00, 50.60, 15.00, 3.97, 5.50 
118, 49.00, 51.60, 8.00, 3.97, 5.50 
119, 50.00, 50.60, 15.00, 3.97, 5.50 
120, 50.00, 50.60, 15.00, 3.97, 5.50 
121, 49.00, 50.60, 15.00, 3.97, 5.50 
122, 50.00, 48.70, 7.00, 3.97, 5.50 
123, 49.00, 49.60, 15.00, 3.97, 5.50 
124, 49.00, 49.60, 8.00, 3.97, 5.50 
125, 50.00, 50.60, 15.00, 3.97, 5.50 
126, 50.00, 50.60, 15.00, 3.97, 5.50 
127, 49.00, 50.60, 15.00, 3.97, 5.50 
128, 50.00, 50.10, 15.00, 3.97, 5.50 
129, 50.00, 51.10, 15.00, 3.97, 5.50 
130, 51.00, 51.10, 15.00, 3.97, 5.50 
131, 50.00, 51.60, 15.00, 3.97, 5.50 
132, 50.00, 50.10, 15.00, 3.97, 5.50 
133, 51.00, 50.60, 15.00, 3.97, 5.60 
134, 51.00, 51.60, 15.00, 3.97, 5.60 
135, 50.00, 51.60, 15.00, 3.97, 5.50 
136, 52.00, 52.10, 15.00, 3.97, 5.50 
137, 51.00, 51.10, 15.00, 3.97, 5.50 
138, 51.00, 52.10, 15.00, 3.97, 5.50 
139, 51.00, 51.60, 15.00, 3.97, 5.50 
140, 50.00, 51.60, 15.00, 3.97, 5.50 
141, 51.00, 51.10, 15.00, 3.97, 5.50 
142, 51.00, 51.10, 15.00, 3.97, 5.50 
143, 50.00, 50.60, 15.00, 3.98, 5.50 
144, 50.00, 50.60, 15.00, 3.98, 5.50 
145, 49.00, 50.10, 15.00, 3.98, 5.50 
146, 50.00, 50.60, 15.00, 3.98, 5.50 
147, 49.00, 51.60, 7.00, 3.98, 5.50 
148, 50.00, 50.10, 15.00, 3.98, 5.50 
149, 49.00, 50.10, 15.00, 3.98, 5.50 
150, 50.00, 49.60, 6.00, 3.98, 5.50 
151, 50.00, 49.60, 15.00, 3.98, 5.50 
152, 52.00, 51.10, 15.00, 3.98, 5.50 
153, 50.00, 50.60, 15.00, 3.98, 5.50 
